English,Japanese
exceptionally,例外的に，非常に
almost,ほとんど，たいてい
as to,に関して，について
collapse,崩壊する，つぶれる
insult,を侮辱する，を罵る
isolated,孤立した，隔離された
punctual,規則正しい，時間通りの
frightened,恐ろしかった，怖かった
guarantee,を保証する/保証
blame,を非難する，批判する
violate,違反する，破る
delay,を遅らせる，先延ばしにする
immigrate,移住する，移転する
instinct,直感，本能，勘
strangely,不思議なことに，奇妙に
chase,を追跡する，追いかける/追跡
pour,を注ぐ，激しく降る
at one time,一度に，同時に
all the way,はるばる，わざわざ
pull away,引き離す，引き剥がす
try out,を試す，十分に試してみる
break into,に押し入る，侵入する
call it a day,終了する，仕事を切り上げる
be awake,目を覚ましている，覚醒している
brightness,輝度，明るさ
have an effect on,に影響を及ぼす，影響する
indoor,室内/屋内の
senior,ポストが上の/年上の人
be adjusted to,に調整する，調節する
specific,具体的な，特定の
heart rate,心拍数，脈拍
be beneficial to,に有益である，役立つ
what is called,いわゆる，通称
symmetry,対称，左右対称
each other,お互い，それぞれ
check for,を調べる，確認する
over time,超過勤務，延長時間
What is more,さらに，その上
for some time,しばらくの間，一時的に
at a time,１度に，同時に
parking lot,駐車場，停車場
all around the world,世界中の，全世界の
copyright,著作権，版権
director,監督，指導者，役員
in reality,実際に，現実に
depend on,に頼る，依存する
claim to do,することを主張する
agree with,に賛成である，支持する
it is common to hear,を聞くのが一般的です，よく聞かれる
temple,お寺，寺院
bring,持って来る，連れてくる
throw away,廃棄する，を捨てる
garbage,生ゴミ，くず
environmentally,環境的に，情勢的に
process,過程，手順/を加工処理する
up to,～まで，～に至る
turn into,に変わる，に転ずる
cut down on,を切り詰める，節約する
fossil fuel,化石燃料
plastic bag,ビニール袋，プラスチック袋
harm,害，危害/を害する
unbelievable,信じられない，信じがたい
arrogant,傲慢な，横柄な
harbor,港，港湾
temper,気性，かんしゃく
legend,伝説，言い伝え
vague,漠然とした，あいまいな
harvest,収穫/を収穫する
planet,惑星，天体
ruin,を台無しにする，破滅する/破滅
launch,発売する，船をおろす
refuse,を拒否する，拒む
overtake,追い越す，追いつく
restrict,を制限する，を限定する
stock,株，在庫/を在庫に持つ
competitor,競合他社，競争相手
spectator,観客，見物人
explorer,冒険者，探検家
remind of,を思い出させる，気づかせる
concentrate on,に集中する，専念する
laugh at,を見て笑う，楽しむ
well off,裕福な，富裕な
straight on,まっすぐに，直線的に
far off,はるかかなたの，遠くの
equal,同等，等しい
drop off,落ちる，落とす
leave out,除外する，取り除く
the other,もう一方の，反対側の
be concerned with,に関係している，関連している
sustainable,存続可能な，持続可能な
leftover,残り物，食べ残し
because of,～が理由で，目的のために
hundreds of,何百もの
efficiency,効率，能率
arrangement,配置，配列
prescription,処方，処方箋
generously,惜しみなく，気前よく
do well,うまくやる，成功する
deadline,締め切り，期限
exception,例外，特例
temporarily,一時的に，仮に
provide A with B,AにBを提供する，AがBを供給する
fund,基金，資金
in the long run,長い目で見れば，長期間に
overlap,重ねる，積む
collaboration,共同，共作，協力
detective,探偵，刑事，捜査官
modify,を変更する，を修正する
stir,"をかき混ぜる, 混ぜる"
orbit,"軌道, 軌跡"
emotionally,"感情的に, 情緒的に"
evaluate,評価する，見積もる
prospect,見込み，眺め
